Key,Value,T
fromHumanoids,from humanoids,来自人形生物
fromAnimals,from animals,来自动物
fromDaedra,from Daedra,来自达德拉
duringWinter,during Winter,在冬天
duringSpring,during Spring,春季
duringSummer,during Summer,在夏天
duringFall,during Fall,秋天
duringFullMoon,during Full Moon,在满月期间
duringHalfMoon,during Half Moon,在半月期间
duringNewMoon,during New Moon,在新月期间
nearUndead,near undead,近年
nearDaedra,near deadra,在Deadra附近
nearHumanoids,near humanoids,靠近人形生物
nearAnimals,near animals,近动物
undeadLower,undead,亡灵
humanoidLower,humanoid,人形生物
animalsLower,animals,动物
animalsUpper,Animals,动物
allTheTime,all the time,每时每刻
inSunlight,in sunlight,在阳光下
inDarknessLower,in darkness,在黑暗中
atRange,at range,在范围
whenStrikes,when strikes,当罢工时
add25Percent,25% additional,额外25％
add50Percent,50% additional,额外50％
hearing,hearing,听力
athleticismLower,athleticism,运动能力
adrenalineRushLower,adrenaline rush,肾上腺素
commoners,Commoners,平民
merchants,Merchants,商人
scholars,Scholars,学者
nobility,Nobility,贵族
underworld,Underworld,地狱
all,All,全部
noRoomInItem,No room in item...,物品中没有空间...
noEnchantments,You have not prepared enchantments for this item.,您尚未为此项目准备魅力。
noMonstersNearby,There are no monsters nearby.,附近没有怪物。
Fire,Fire,火
Frost,Frost,霜
Poison,Poison,毒
Shock,Shock,震惊
Magicka,Magicka,玛吉卡
Animal,Animal,动物
Undead,Undead,亡灵
Humanoid,Humanoid,人形生物
Daedra,Daedra,达德拉
dialogButtonInfo,Switch between: Active Quests; Finished Quests; Notebook; Messages,在：主动任务之间切换； 完成任务； 笔记本; 消息
activeQuests,Active Quests,主动任务
activeQuestsInfo,Click on an active quest that has a target location to initiate travel.,单击具有目标位置的主动任务来启动旅行。
finishedQuests,Finished Quests,完成任务
finishedQuestsInfo,Click on an entry to move it. Right click to delete.,单击条目以移动它。 右键单击以删除。
notebook,Notebook,笔记本
notebookInfo,Click a note to move. Right click to delete. Click in-between to add a new note.,单击笔记移动。 右键单击以删除。 单击“内部”以添加新注释。
messages,Messages,消息
messagesInfo,History of messages recently shown on screen,屏幕上最近显示的消息历史记录
confirmMoveHead,Move entry,移动条目
confirmMove,Do you want to change the position of this entry?,您想更改此条目的位置吗？
confirmMove2,(It will be moved to before the next entry clicked),（将在下一个条目点击之前移动到）
confirmRemoveHead,Delete entry,删除条目
confirmRemove,Are you sure you want to remove this entry?,您确定要删除此条目吗？
confirmRemove2,(It will be deleted permanently and cannot be restored),（将永久删除，无法恢复）
confirmFindHead,Travel to location,前往位置
confirmFind,Do you want to open the world map to travel to:,您想打开世界地图以前往：
confirmFind2,(Note: you can cancel travel from the world map),（注意：您可以从世界地图取消旅行）
enterNote,Enter your note:,输入注意：
completedQuest,completed,完全的
endedQuest,ended,结束
finishQuestHeader,{0} {1} at {2}:,{0} {1} at {2}：
quest,Quest,寻求
noteHeader,{0} in {1}:,{0}在{1}中：
houseDeed,You obtained the deeds and now own a house in %town of %region.,您获得了契据，现在在％ate cone town of％的城镇中拥有一所房子。
levelProgress,Progress made to the next level: {0}%,取得了一个下一个级别的进度：{0}％
readMap,Discovered the location of %map after studying a map.,研究地图后发现了％地图的位置。
readMapTG,The Thieves Guild have revealed the closely guarded where-abouts of a treasure trove called %map.,盗贼行会透露了一个被称为％地图的宝库的严密保护。
readMapDB,The Dark Brotherhood revealed the secret of some treasure-laden crypts located at somewhere called %map.,黑暗的兄弟会揭示了位于某处称为％地图的一些富有宝藏的地下室的秘密。
readMapFail,You have already discovered the location shown by this map.,您已经发现了此地图显示的位置。
howManyItems,Pick how many items (max {0})?,选择多少个项目（最大{0}）？
wagonFullGold,Your wagon could only hold {0} gold pieces.,您的旅行车只能握住{0}金块。
itemsIdentified,Items identified.,确定的项目。
repairDone,DONE,完毕
repairDays,%d days,％D天
interruptRepair,Take back that item before it's repaired?,在修复该物品之前将其收回？
repairNote,Left my {0} for repair at {1}.,离开我的{0}进行{1}的维修。
doesntNeedIdentify,This does not need to be identified.,这无需确定。
goldAmount,{0} gold pieces,{0}金片
goldWeight,Weight: {0} kg,重量：{0} kg
letterOfCredit,You are paid with a letter of credit.,您获得了信用证。
stealSuccess,You are successful.,你很成功。
stealFailure,You are not successful...,你没有成功...
cannotRemoveItem,You cannot remove this item.,您无法删除此项目。
cannotCarryAnymore,You cannot carry anymore stuff.,你不能再携带东西了。
cannotHoldAnymore,Your cart cannot hold anymore stuff.,您的购物车不能再容纳东西了。
cannotUseThis,You cannot use this.,您不能使用此。
equippingWeapon,Equipping %s,装备％s
lightDouse,You douse the %it.,您将％iT iT。
lightLight,You light the %it.,您点燃百分比。
lightDies,Your %it flickers and dies.,您的％闪烁和死亡。
lightEmpty,Your %it has no fuel left.,您的％它没有燃料。
lightRefuel,You refuel your %it with a bottle of oil.,您用一瓶油为百分比加油。
lightFull,Your %it is full.,您的％已满。
kgSrc,kilograms,公斤
kgRep,kg,公斤
damSrc,points of damage,伤害点
damRep,damage,损害
arSrc,armor rating,装甲等级
arRep,armor,盔甲
northern,(northern),（北方）
southern,(southern),（南部）
noWagon,You don't own a wagon.,您没有货车。
exitTooFar,The exit is too far away for you to access your wagon.,出口太远了，您无法进入货车。
bookUnavailable,The book is ruined and is now unreadable.,这本书被毁了，现在不可读。
unknownAuthor,unknown author,未知作者
cannotDeleteVamp,Cannot delete special vampire spells.,无法删除特殊的吸血鬼法术。
cannotDeleteWere,Cannot delete special lycanthropy spell.,无法删除特殊的纵向咒语。
noRecipes,You have no recipes.,您没有食谱。
potionMixed,Your potion has been mixed.,您的药水混合在一起。
potionFailed,Those ingredients did not concoct an effective potion.,这些成分没有巩固有效的药水。
reqIngredients,You do not have the ingredients required.,您没有所需的成分。
region,Region,地区
account,Account,帐户
loan,Loan,贷款
dueDate,Loan Due Date,贷款到期日
noAccount,None,没有任何
loanReminder,You have a loan of {0} gold pieces due in,您有{0}金件的贷款
loanReminder2,less than {0} months in {1},在{1}中少于{0}月份
classicIcons,Classic,经典的
suggestedIcons,Suggested,建议
serviceMembersOnly,My services are reserved for members only.,我的服务仅为会员保留。
serviceDonateHowMuch,Donate how much money : ,捐赠多少钱：
curedDisease,You are cured.,你已经治愈了。
freeHolidayCuring,You are cured free from cost due to todays' holiday.,由于今天的假期，您可以免费治愈费用。
gettingQuests1,"Hmm, let me see what tasks we have available.",嗯，让我看看我们有哪些任务。
gettingQuests2,"Please have patience and wait here a moment, %pcf.",请耐心等待，在这里等待片刻，％pcf。
illegalRestWarning,It is illegal to camp in or near a city. Continue?,在城市中或附近露营是非法的。 继续？
cannotLoiterMoreThanXHours1,You cannot loiter more,你不能再游荡
cannotLoiterMoreThanXHours2,than {0} hours at a time.,一次比{0}小时。
automapToolTipTextGridButton,left click: switch between 2D top view and 3D view (hotkey: {0})\rright click: reset rot. axis to player pos (hotkey: {1})\rmouse wheel up while over btn: inc. perspective (only 3D mode)\rmouse wheel down while over btn: dec. perspective (only 3D mode),左键单击：在2D顶视图和3D视图之间切换（热键：{0}）\ rright单击：reset rot。 轴向播放器pos（热键：{1}）\ rmouse wheel在BTN：INC上。 透视图（仅3D模式）\ rmouse wheel在BTN上方：DEC。 透视图（仅3D模式）
automapToolTipForwardButton,left click: move viewpoint forward (hotkey: {0})\rright click: move rotation axis forward (hotkey: {1}),左点击：移动查看点向前（热键：{0}）\ rright单击：移动旋转轴向前（热键：{1}）
automapToolTipBackwardButton,left click: move viewpoint backwards (hotkey: {0})\rright click: move rotation axis backwards (hotkey: {1}),左键单击：向后移动视图（热键：{0}）\ rright单击：向后移动旋转轴（HOTKEY：{1}）
automapToolTipLeftButton,left click: move viewpoint to the left (hotkey: {0})\rright click: move rotation axis to the left (hotkey: {1}),左点击：向左移动视点（HOTKEY：{0}）\ rright单击：向左移动旋转轴（hotkey：{1}）
automapToolTipRightButton,left click: move viewpoint to the right (hotkey: {0})\rright click: move rotation axis to the right (hotkey: {1}),左点击：将视图点移到右侧（热键：{0}）\ rright单击：将旋转轴移动到右侧（hotkey：{1}）
automapToolTipRotateLeftButton,left click: rotate dungeon to the left (hotkey: {0})\rright click: rotate camera to the left (hotkey: {1}),左点击：向左旋转地牢（HOTKEY：{0}）\ rright单击：向左旋转相机（hotkey：{1}）
automapToolTipRotateRightButton,left click: rotate dungeon to the right (hotkey: {0})\rright click: rotate camera to the right (hotkey: {1}),左点击：向右旋转地牢（热键：{0}）\ rright单击：向右旋转相机（hotkey：{1}）
automapToolTipUpstairsButton,left click: increase viewpoint (hotkey: {0})\rright click: increase slice level (hotkey: {1})\rslice level can also be adjusted by holding down middle mouse btn\r\rhint: different render modes may show hidden geometry:\rhotkey {2}: cutout mode\rhotkey {3}: wireframe mode\rhotkey {4}: transparent mode\rswitch between modes with return key\r,左点击：增加视图点（hotkey：{0}）\ rright单击：增加切片级别（hotkey：{1}）\ rslice级别也可以通过按住中间鼠标BTN \ r \ rhint来调整 几何：\ rohotkey {2}：切口模式\ rohotkey {3}：线框模式\ rohotkey {4}：透明模式\ rswitch在带有返回键\ r的模式之间
automapToolTipDownstairsButton,left click: decrease viewpoint (hotkey: {0})\rright click: decrease slice level (hotkey: {1})\rslice level can also be adjusted by holding down middle mouse btn\r\rhint: different render modes may show hidden geometry:\rhotkey {2}: cutout mode\rhotkey {3}: wireframe mode\rhotkey {4}: transparent mode\rswitch between modes with return key\r,左点击：降低视图点（热键：{0}）\ rright单击：降片级别（hotkey：{1}）\ rslice级别也可以通过按下中间鼠标BTN \ r \ rhint来调整 几何：\ rohotkey {2}：切口模式\ rohotkey {3}：线框模式\ rohotkey {4}：透明模式\ rswitch在带有返回键\ r的模式之间
automapToolTipPanelCompass,"left click: toggle focus (hotkey: {0})\rbeacons: red ... player, green ... entrance, blue ... rotation axis\r\rright click: reset view (hotkey: {1})\r\rdouble-click left mouse btn in window to create+edit marker note\rdouble-click left mouse btn (+Ctrl key) in window to create marker\rdouble-click left mouse btn on a marker to add/edit a note\rdouble-click right mouse btn on a marker to delete it\rdouble-click right mouse btn in window to position rotation axis\rdouble-click middle mouse btn in window to center view\rdouble-click left mouse btn on discovered portal marker to jump\rto connected teleporter portal",左点击：切换焦点（热键：{0}）\ rbeacons：红色...播放器，绿色...入口，蓝色...旋转轴\ r \ rright单击：reset视图（hotkey：{1}）\ r \ rdouble-click在窗口中左鼠标btn以创建+编辑标记注释\ rdouble-click左鼠标btn（+ctrl键）窗口中以创建标记\ rdouble-click左鼠标左鼠标btn在添加/编辑note/edit a Note \ rdouble btn  - 单击鼠标btn在标记上删除\ rduble-lick右键鼠标btn窗口中的位置旋转轴\ rdouble-lick-click middle鼠标btn窗口中的中心视图\ rdouble-clud-clike \ rdouble-click左鼠标左鼠标btn在发现的门户网站上，以跳高\ \ RTO连接的传送器门户网站
automapPlayerPositionBeacon,player position beacon,玩家位置信标
automapRotationPivotAxis,rotation pivot axis,旋转枢轴轴
automapEntranceExitPositionBeacon,entrance/exit position beacon,入口/退出位置信标
automapEntranceExit,entrance/exit,入口/出口
automapPlayerMarker,player marker,玩家标记
automapTeleporterEntrance,teleporter (entrance),传送器（入口）
automapTeleporterExit,teleporter (exit),传送器（出口）
exteriorAutomapBuildingTypeAlchemist,Alchemist,炼金术士
exteriorAutomapBuildingTypeArmorer,Armorer,装甲
exteriorAutomapBuildingTypeBank,Bank,银行
exteriorAutomapBuildingTypeBookseller,Bookseller,书商
exteriorAutomapBuildingTypeClothingStore,Clothing Store,服装店
exteriorAutomapBuildingTypeFurnitureStore,Furniture Store,家具店
exteriorAutomapBuildingTypeGemStore,Gem Store,宝石商店
exteriorAutomapBuildingTypeGeneralStore,General Store,综合商店
exteriorAutomapBuildingTypeGuildHall,Guild Hall,公会大厅
exteriorAutomapBuildingTypeHouseForSale,HouseForSale,房子出售
exteriorAutomapBuildingTypeLibrary,Library,图书馆
exteriorAutomapBuildingTypePalace,Palace,宫
exteriorAutomapBuildingTypePawnShop,Pawn Shop,当铺
exteriorAutomapBuildingTypeTavern,Tavern,酒馆
exteriorAutomapBuildingTypeTemple,Temple,寺庙
exteriorAutomapBuildingTypeWeaponSmith,Weapon Smith,武器史密斯
exteriorAutomapBuildingTypeUnknown,Unknown,未知
exteriorAutomapToolTipTextGridButton,"left click: switch to next view mode (hotkey: {0})\ravailable view modes are:\r- original (hotkey {1})\r- extra: includes extra buildings (hotkey {2})\r- all: includes extra buildings, ground flats (hotkey {3})\rswitch background texture with {4}, {5}, {6}, {7}",左键单击：切换到下一个视图模式（hotkey：{0}）\ ravailable视图模式为：\ r-原始（hotkey {1}）\ r- extra：包括额外的建筑物（hotkey {2}）\ r- all：all： 包括额外的建筑物，地面公寓（hotkey {3}）\ rswitch背景纹理，{4}，{5}，{6}，{7}
exteriorAutomapToolTipForwardButton,left click: move up (hotkey: {0})\rright click: move to north location border (hotkey: {1}),左点击：向上移动（热键：{0}）\ rright单击：移动到北位置边框（hotkey：{1}）
exteriorAutomapToolTipBackwardButton,left click: move down (hotkey: {0})\rright click: move to south location border (hotkey: {1}),左点击：向下移动（热键：{0}）\ rright单击：移动到南部位置边框（hotkey：{1}）
exteriorAutomapToolTipLeftButton,left click: move to the left (hotkey: {0})\rright click: move to west location border (hotkey: {1}),左点击：向左移动（热键：{0}）\ rright单击：移动到西部位置边框（hotkey：{1}）
exteriorAutomapToolTipRightButton,left click: move to the right (hotkey: {0})\rright click: move to east location border (hotkey: {1}),左键单击：向右移动（热键：{0}）\ rright单击：移动到东位置边框（hotkey：{1}）
exteriorAutomapToolTipRotateLeftButton,left click: rotate map to the left (hotkey: {0})\rright click: rotate map around the player position\rto the left  (hotkey: {1}),左键单击：向左旋转地图（热键：{0}）\ rright单击：旋转围绕播放器位置\ rto左图（hotkey：{1}）
exteriorAutomapToolTipRotateRightButton,left click: rotate map to the right (hotkey: {0})\rright click: rotate map around the player position\rto the right (hotkey: {1}),左点击：向右旋转地图（热键：{0}）\ rright单击：旋转player位置\ rto右侧的地图（hotkey：{1}）
exteriorAutomapToolTipUpstairsButton,left click: zoom in (hotkey: {0})\rright click: apply maximum zoom),左点击：Zoom In（HotKey：{0}）\ Rright单击：应用最大Zoom）
exteriorAutomapToolTipDownstairsButton,left click: zoom out (hotkey: {0}\rright click: apply minimum zoom),左点击：缩放（hotkey：{0} \ rright单击：应用最小变焦）
exteriorAutomapToolTipPanelCompass,left click: focus player position (hotkey: {0})\rright click: reset view (hotkey: {1}),左点击：聚焦播放器位置（热键：{0}）\ rright单击：reset视图（hotkey：{1}）
loading,Please wait...,请稍等...
classicSave,Classic,经典的
cancel,Cancel,取消
renameSave,Rename,改名
deleteSave,Delete,删除
switchChar,Switch Char,开关char
savePrompt,Save Game,保存游戏
loadPrompt,Load Game,加载游戏
saveButton,Save,节省
loadButton,Load,加载
enterSaveName,Enter save name,输入保存名称
selectSaveName,Select a save,选择一个保存
confirmDeleteSave,Are you sure you want to delete save?,您确定要删除保存吗？
confirmOverwriteSave,Overwrite this save?,覆盖这个保存？
youMustEnterASaveName,You must enter a save name.,您必须输入保存名称。
youMustSelectASaveName,You must select a save name.,您必须选择一个保存名称。
noSavesFound,No saves found. Load a Classic save?,找不到保存。 加载经典保存？
cannotSaveNow,You cannot save now.,您现在无法保存。
addEffect,Add effect,添加效果
buySpell,Buy spell,购买法术
newSpell,New spell,新咒语
exit,Exit,出口
casterOnly,Caster only,仅施法者
byTouch,By touch,通过触摸
singleTargetAtRange,Single target at range,单个目标
areaAroundCaster,Area around caster,施法者周围的区域
areaAtRange,Area at range,区域处于范围
fireBased,Fire based,基于火
coldBased,Cold based,基于冷
poisonBased,Poison based,基于毒药
shockBased,Shock based,基于冲击
magicBased,Magic based,基于魔术
selectIcon,Select icon,选择图标
nextIcon,Next icon,下一个图标
previousIcon,Previous icon,以前的图标
nameSpell,Name spell,名称咒语
enterSpellName,Enter spell name :,输入咒语名称：
noEffectsError,You must add at least one effect to this spell.,您必须在此咒语中添加至少一个效果。
deleteSpell,Do you want to delete this spell?,您想删除这个咒语吗？
sortSpells,Do you want to sort spells?,您想对法术进行排序吗？
effectNotFoundError,<effect not found>,<找不到效果>
noItemToActivate,You have no usable magic item,您没有可用的魔法物品
Akatosh,Akatosh,阿卡托什
Arkay,Arkay,阿凯
Dibella,Dibella,迪贝拉
Julianos,Julianos,朱利安诺斯
Kynareth,Kynareth,Kynareth
Mara,Mara,玛拉
Stendarr,Stendarr,Stendarr
Zenithar,Zenithar,Zenithar
removeKeybind,Are you sure you want to remove the keybind for {0} ('{1}')?,您确定要删除{0}（'{1}'）的键键吗？
nord,Nord,诺德
settingsNotApplied,Note: Some changes may not be applied until you restart the game.,注意：在您重新启动游戏之前，可能不会应用一些更改。
doneButton,Done,完毕
temple,temple,寺庙
unknownPowers,Unknown Powers,未知的力量
cannotBeRepaired,This cannot be repaired.,这无法修复。
youNeverAwaken,You never awaken.,你从来没有醒来。
modSettings,Mod Settings,mod设置
gameEffectsSettings,Effect Settings,效果设置
antialiasing,Antialiasing,抗质量
ambientOcclusion,Ambient Occlusion,环境光遮蔽
bloom,Bloom,盛开
motionBlur,Motion Blur,运动模糊
vignette,Vignette,小插图
depthOfField,Depth of Field,景深
antialiasingTip,Give a smoother appearance,散发
enable,Enable,使能够
fxaa,FXAA,FXAA
smaa,SMAA,SMAA
taa,TAA,taa
none,None,没有任何
method,Method,方法
fxaaFastMode,FXAA Fast Mode,FXAA快速模式
low,Low,低的
medium,Medium,中等的
high,High,高的
smaaQuality,SMAA Quality,SMAA质量
taaSharpness,TAA Sharpness,Taa清晰度
disabled,Disabled,禁用
setPageDefaults,Set Page Defaults,设置页面默认值
ambientOcclusionTip,Darkens creases and holes,变黑
scalableAmbientObscurance,Scalable Ambient Obscurance,可扩展的环境晦涩
multiScaleVolumetricObscurance,Multi Scale Volumetric Obscurance,多尺度体积晦涩
scalableAmbient,Scalable Ambient,可扩展的环境
multiScaleVolumetric,MultiScale Volumetric,多尺度体积
intensity,Intensity,强度
lowest,Lowest,最低
ultra,Ultra,极端主义者
radius,Radius,半径
quality,Quality,质量
thickness,Thickness,厚度
bloomTip,Make bright areas glow,使明亮的区域发光
threshold,Threshold,临界点
diffusion,Diffusion,扩散
bloomFastMode,Bloom fast mode,Bloom快速模式
motionBlurTip,Simulates objects moving faster than camera exposure,模拟对象移动的速度比相机曝光更快
shutterAngle,Shutter Angle,快门角度
sampleCount,Sample Count,样本计数
vignetteTip,Darken towards the edges of screen,向屏幕边缘变暗
smoothness,Smoothness,平滑度
roundness,Roundness,圆度
rounded,Rounded,圆形
depthOfFieldTip,Simulates focus of camera lens,模拟相机镜头的聚焦
focusDistance,Focus Distance,聚焦距离
aperture,Aperture,光圈
focalLength,Focal Length,焦距
maxBlurSize,Max Blur Size,最大模糊大小
small,Small,小的
large,Large,大的
veryLarge,Very Large,很大
ditherTip,Apply noise to reduce large-scale patterns like color banding,施加噪音以减少大规模图案，例如颜色带
dither,Dither,抖动
colorBoost,ColorBoost,配色板
colorBoostTip,Brightens colors near camera,照相机附近的颜色
dungeonScale,Dungeon Scale,地牢量表
interiorScale,Interior Scale,内部尺度
exteriorScale,Exterior Scale,外部尺度
dungeonFalloff,Dungeon Falloff,地牢坠落
retroMode,Retro Mode,复古模式
retroModeTip,Renders world at lower resolutions,在较低的分辨率下使世界呈现
mode,Mode,模式
retroModeOff,Off,离开
retroMode320x200,320x200,320x200
retroMode640x400,640x400,640x400
off,Off,离开
posterizationFull,Posterization (full),后代（完整）
posterizationMinusSky,Posterization (-sky),后代（-sky）
palettizationFull,Palettization (full),装修（完整）
palettizationMinusSky,Palettization (-sky),装修（-sky）
postProcess,Postprocess,后期处理
retroModeAspectCorrection,Aspect Ratio Correction,纵横比校正
FourThree,4:03,4:03
SixteenTen,16:10,16:10
notEnoughSpellpointsLeft,You do not have enough spell points left.,您没有足够的咒语点。
totalIdentified,{0} out of {1} identified.,{0}从{1}中识别出来。
dispelMagicSuccess,Dispel magic was a success...,消除魔术是成功的...
dispelMagicFailed,Dispel magic failed...,消除魔术失败...
smallerDungeonsChanged,Smaller dungeons changed while inside dungeon. Moving player to dungeon exit.,在地牢内部时，较小的地牢发生了变化。 将播放器移至地牢出口。
youNote,You note: ,您注意：
customName,Custom name: ,自定义名称：
StoresA,"%ef's
%cn's Best
The Essential
Lord %ef's
The Adventurer's
The Odd
%ef's Finest
Bargain
Vintage
The Emperor's
%cn
%ef's General
The Superior
%ef's Quality
First Class
The %rt's
The Champion
Doctor %ef's
Lady %ef's","％ef 
 ％CN最好的 
 重要的 
 勋爵％ef的 
 冒险家的 
 奇怪 
 ％EF最好的 
 便宜货 
 优质的 
 皇帝的 
 ％CN 
 ％EF的一般 
 上级 
 ％EF的质量 
 头等舱 
 ％RT 
 冠军 
 医生％EF的 
 女士％EF的"
GeneralStoresB,"Supplies
Supply Store
Gear
Gear Store
Equipment
Equipment Store
Sundries
Provisions
Merchandise
General Store
Retail Store
Trading Post
Market
Wares
Warehouse","补给品 
 供应商店 
 齿轮 
 齿轮商店 
 设备 
 设备商店 
 杂物 
 规定 
 商品 
 综合商店 
 零售店 
 交易哨所 
 市场 
 商品 
 仓库"
WeaponStoresB,"Weapons
Weaponry
Arms
Armaments
Arsenal
Armsmaker
Blades
Blacksmith
Metalsmith
Weaponsmith","武器 
 武器 
 武器 
 军备 
 兵工厂 
 军械师 
 刀片 
 铁匠 
 金属匠 
 武器匠"
ArmorStoresB,"Armory
Mail
Shielding
Armor
Shields
Aegis
Metalworks
Blacksmith
Metalsmith
Armorer
Smith
Smithy","军械库 
 邮件 
 屏蔽 
 盔甲 
 盾牌 
 宙斯盾 
 金属工作 
 铁匠 
 金属匠 
 装甲 
 史密斯 
 史密斯"
BookStoresB,"Books
Bookstore
Bookshop
Book Dealer
Book Center
Bookseller
Bookstall
Incunabula","图书 
 书店 
 书店 
 书经销商 
 图书中心 
 书商 
 书摊 
 incunabula"
LibraryStoresB,"Library
Bookroom
Athenaeum
Public Library
Historians
Bookroom
Seminary
Lyceum","图书馆 
 书房 
 雅典娜 
 公共图书馆 
 历史学家 
 书房 
 神学院 
 Lyceum"
ClothingStoresB,"Clothing
Clothes
Garments
Apparel
Costumes
Vestments
Attire
Fashion
Tailoring
Outfits
Finery","衣服 
 衣服 
 服装 
 服饰 
 服装 
 服装 
 服装 
 时尚 
 裁缝 
 服装 
 服饰"
AlchemyStoresB,"Herbs
Potherbs
Spices
Remedies
Antidotes
Physics
Medicines
Potions
Tinctures
Medicaments
Elixirs
Pharmacy
Apothecary
Unguents
Medicinal Agents
Herb Garden
Pharmaceuticals
Chemistry
Chemicals
Experiental Products
Alchemistry
Alchemical Solutions
Metallurgy","草药 
 手掌 
 香料 
 补救措施 
 解毒剂 
 物理 
 药物 
 药水 
 tin剂 
 药物 
 长生不老药 
 药店 
 药剂师 
 官员 
 药剂 
 草药花园 
 药品 
 化学 
 化学物质 
 体验产品 
 炼金术 
 炼金术解决方案 
 冶金"
GemStoresB,"Gems
Gemstones
Jewelry
Jewels
Precious Stones
Bijoutry
Jewelers
Jewel Box
Jewelry Shop
Gemcutter","宝石 
 宝石 
 珠宝 
 珠宝 
 珍贵的石头 
 Bijoutry 
 珠宝商 
 珠宝盒 
 珠宝店 
 gemcutter"
PawnStoresB,"Pawnshop
Pawnbrokers
Used Supplies
Used Gear
Used Equipment
Used Merchandise
Hockshop
Antiquities","当铺 
 典当行 
 二手用品 
 二手齿轮 
 二手设备 
 使用的商品 
 Hockshop 
 古物"
FurnitureStoresB,"Furniture
Furnishings
Interior Design
Furniture Shop
Decor
Carpentry
Woodworking
Crafts
Woodwork","家具 
 家具 
 室内设计 
 家具店 
 装饰风格 
 木工 
 木工 
 工艺 
 木制品"
LivestockStoresB,"Livestock
Breeders
Farm Animals
Beasts
Creatures
Game
Animalia
Fauna
Menagerie","家畜 
 育种者 
 农场动物 
 野兽 
 生物 
 游戏 
 Animalia 
 动物区系 
 Menagerie"
TavernsA,"The Queen's
The King's
The Dirty
The Black
The Mole and
The Green
The Red
The Gold
The White
The Silver
The Crimson
The Flying
The Dancing
The Laughing
The Restless
The Thirsty
The Unfortunate
The Lucky
The Devil's
The Rusty
The Howling
The Screaming
The Bat and
The Lion and
The Lynx and
The Dwarf and
The Beaver and
The Fox and
The Mouse and
The Pig and
The Feather and
The Toad and
The Rat and
The Savage
The Knave and
The Dead","皇后 
 国王的 
 肮脏 
 黑色的 
 痣和 
 绿色的 
 这红色 
 黄金 
 白色 
 银 
 深红色 
 飞行 
 跳舞 
 笑 
 不安 
 口渴 
 不幸的 
 幸运 
 魔鬼的 
 生锈 
 嚎叫 
 尖叫 
 蝙蝠和 
 狮子和 
 lynx和 
 矮人和 
 海狸和 
 狐狸和 
 鼠标和 
 猪和 
 羽毛和 
 蟾蜍和 
 老鼠和 
 野蛮人 
 nave和 
 死亡"
TavernsB,"Chasm
Mug
Pit
Cat
Dog
Goblin
Griffin
Dragon
Ogre
Giant
Djinn
Wolf
Huntsman
Dagger
Skull
Sword
Guard
Dungeon
Helm
Castle
Jug
Bird
Gnome
Hedgehog
Muskrat
Woodchuck
Scorpion
Badger
Goat
Porcupine
Priest
Fawn
Stag
Barbarian
Rascal
Fairy","鸿沟 
 马克杯 
 坑 
 猫 
 狗 
 妖精 
 格里芬 
 龙 
 OGRE 
 巨大的 
 Djinn 
 狼 
 猎人 
 匕首 
 颅骨 
 剑 
 警卫 
 地牢 
 舵 
 城堡 
 水罐 
 鸟 
 侏儒 
 刺猬 
 马斯克拉特 
 Woodchuck 
 蝎 
 獾 
 山羊 
 豪猪 
 牧师 
 讨好 
 麈 
 野蛮人 
 流氓 
 仙女"
houseForSale,House for sale,房子出售
theBankOf,The Bank of,银行
daggerfall,Daggerfall,匕首
wayrest,Wayrest,Wayrest
sentinel,Sentinel,哨兵
palace,Palace,宫
