Key,Value
4265,在卡利登河浑浊的黑色水中游泳[/结束],swimming in the murky black waters of the Caledon River[/end]
4452,肮脏的战斗[/完],fight dirty[/end]
4512,"短剑[/记录]
细刃[/完]","shortsword[/record]
fine blade[/end]"
4555,扒窃[/完],pick pockets[/end]
4531,"一颗美丽的红宝石[/记录]
精致的红宝石[/完]","a single beautiful ruby[/record]
an exquisite red ruby[/end]"
4428,来自岛屿的野生鹰身女妖[/结束],the wild harpies from the islands[/end]
4514,"学徒[/记录]
学生[/记录]
新手[/记录]
学者[/完]","apprentices[/record]
students[/record]
novices[/record]
scholars[/end]"
4755,阿尔凯[/完],Arkay[/end]
5404,"您好，%pcn。[/center]
你居然敢闯入这里。[/center]
尽管如此，我还是允许你[/center]
继续，前提是您证明是[/center]
谣言报道具有洞察力。[/center]
你可能知道我是一个[/center]
刀锋大师。但什么[/中心]
我最喜欢的另一把武器是什么？[/center]
回答正确，然后武装自己。[/center]
[/结尾]","Greetings, %pcn.[/center]
You dare much by intruding here.[/center]
Nevertheless, I will allow you[/center]
to proceed, provided you prove as[/center]
perceptive as rumor reports.[/center]
You may be aware that I am a[/center]
master of the blade. But what[/center]
is my other favored weapon?[/center]
Answer correctly, then arm yourself.[/center]
[/end]"
6213,"孤独[/记录]
悲伤[/记录]
孤独[/记录]
孤独[/记录]
孤独[/记录]
荒凉[/记录]
隔离[/记录]
远程[/记录]
废弃[/完]","Lonely[/record]
Sad[/record]
Lonesome[/record]
Solitary[/record]
Lone[/record]
Desolate[/record]
Sequestered[/record]
Remote[/record]
Abandoned[/end]"
6610,"真是啊，敏锐的判断力，我的孩子。[/center]
现在，您的起始标题将是[/center]
%lev，但我不会担心[/center]
秩。重要的是你现在拥有[/center]
进入寺庙最高级的图书馆[/center]
和培训师。耐心点，你会看到[/center]
你的劳动成果。学习，%lev。[/center]
阅读并学习。[/center]
[/结尾]","A most, ah, perspicacious judgment, my child.[/center]
Now then, your inceptive title will be that of[/center]
%lev, but I wouldn't fret about[/center]
rank. The important part is that you now have[/center]
access to the temple's superlative libraries[/center]
and trainers. Be patient and you will see the[/center]
fruit of your labor. Learn, %lev.[/center]
Read and learn.[/center]
[/end]"
7209,"向你问好，好%pcf。[/record]
见到你我的心很温暖，%pcf。[/record]
啊，优秀的公司。美好的一天，亲爱的朋友。[/记录]
%哦！很高兴见到你，%pcf。[/record]
祝你有美好的一天，%pcf。[/record]
很高兴见到你，%pcf。[/record]
我很高兴见到你，%pcf。[/record]
啊，%pcf，你好。总是很高兴。[/结束]","A warm hello to you, good %pcf.[/record]
It warms my heart to see you, %pcf.[/record]
Ah, excellent company. Good day, dear friend.[/record]
%oth! Good to see you, %pcf.[/record]
Good day to you, %pcf.[/record]
Grand to see you, %pcf.[/record]
I'm happy to see you, %pcf.[/record]
Ah, %pcf, hello. Always a pleasure.[/end]"
7293,"您对 %t 的忠诚得到了回报。 %hnt[/记录]
你一直对我忠诚。 %hnt[/记录]
你很幸运能问我。宫廷八卦有它的好处。 %hnt2[/记录]
我总是很高兴为您提供帮助%pcf。 %hnt2[/记录]
你忠实的服务足以让我告诉你。 %hnt2[/结束]","Your loyalty to the %t has its reward. %hnt[/record]
You have always been loyal to me. %hnt[/record]
You are lucky to have asked me. Court gossip has its benefits. %hnt2[/record]
I am always glad to help you %pcf. %hnt2[/record]
Your faithful service is reason enough for me to tell you. %hnt2[/end]"
8692,"游戏提示！[/center]
[/中心]
如果您上平台有困难，[/center]
尝试用 J 键跳跃。你一定要搬家了[/center]
当时向前。你移动得越快，[/center]
你跳得越远。[/center]
[/结尾]","Game Hint![/center]
[/center]
If you have difficulty getting onto the platform,[/center]
try jumping with the J key. You must be moving[/center]
forward at the time. The faster you are moving,[/center]
the further you jump.[/center]
[/end]"
8375,"今天是年中十六，传统节日[/center]
为了庆祝年中。或许可以缓解[/center]
天皇最新增税年度新闻，[/center]
%ct 寺庙为[/center]提供祝福
只有他们通常建议的一半捐款。很多这样[/中心]
有福有信心进入[/center]
%lp 未完全完成的地下城[/center]
准备好了，所以这个欢乐的节日常常是[/center]
众所周知，突然变成了失败和悲剧的一天。[/center]
[/结尾]","Today is the 16th of Mid Year, the traditional day[/center]
for the Mid Year Celebration. Perhaps to alleviate[/center]
the annual news of the Emperor's latest tax increase,[/center]
the %ct temples offer blessings for[/center]
only half the donation they usually suggest. Many so[/center]
blessed feel confident enough to enter the[/center]
%lp dungeons when they are not fully[/center]
prepared, so this joyous festival has often been[/center]
known to turn suddenly into a day of defeat and tragedy.[/center]
[/end]"
7,"运气[/中心]
运气对于你采取的任何行动都有强大的调节作用。[/左]
不存在以运气为主要属性的技能，[/左]
但你在任何技能试验中成功的几率都会改变[/left]
祝你好运。[/左]
凭借 %luc 的运气，你被认为是 %ark。[/left]
[/结尾]","LUCK[/center]
Luck is a powerful modifier to any action you take.[/left]
There are no skills in which luck is the primary attribute,[/left]
but your odds of succeeding in any skill trial is modified[/left]
by your luck.[/left]
With your luck of %luc, you are considered %ark.[/left]
[/end]"
114,"您患有痴呆症，[/center]
一种可怕的疾病，会慢慢夺走生命[/center]
智力的受害者，[/center]
意志力，甚至性格，[/center]
直到他或她死亡或治愈[/中心]
已申请。[/center]
[/结尾]","You have contracted Dementia,[/center]
a hideous disease which slowly robs[/center]
a victim of his or her intelligence,[/center]
willpower, and even personality,[/center]
until he or she is dead or a cure[/center]
has been applied.[/center]
[/end]"
256,"有人喊道：“进来吧。”[/record]
您会听到“欢迎！”[/记录]
一个恼怒的声音喊道：“门打开了。”[/record]
有人说：“进来吧。”[/记录]
一个快乐的声音说：“欢迎来到我家。”[/记录]
一个声音喊道：“你可以进去了。”[/end]","Someone calls out, ""Come in.""[/record]
You hear, ""Welcome!""[/record]
An irritated voice hollers, ""It's open.""[/record]
Someone says, ""Come on in.""[/record]
A jolly voice says, ""Welcome to my home.""[/record]
A voice calls out, ""You may enter.""[/end]"
261,"“%cpn 为拥有[/center]而自豪
%cn 最低价格。虽然你[/中心]
一直跟我讨价还价直到太阳出来[/center]
天低了我也能卖得下[/center]
超过%a金币。”[/center]
[/记录]
“你已经和我讨价还价很久了[/center]
%pcn。让我们完成吧。我愿意[/中心]
一般收费比较高，但是为了你我[/center]
只问%a金币。确实，它只是一个[/center]
微不足道。”[/中心]
[/结尾]","""%cpn prides itself on having the[/center]
lowest prices in %cn. Though you[/center]
have bargained with me until the sun is[/center]
low in the sky, I can sell for no less[/center]
than %a gold pieces.""[/center]
[/record]
""You have bargained me long and hard[/center]
%pcn. Let us be done. I would[/center]
normally charge more, but for you I[/center]
only ask %a gold. Truly it is but a[/center]
pittance.""[/center]
[/end]"
360,"我们已收到有关您的警告%pcn。[/center]
您拖欠了我们其中一位[/center]的贷款
姐妹银行。这笔钱将被使用[/center]
偿还坏账。[/center]
[/结尾]","We were warned about you %pcn.[/center]
You defaulted on a loan to one of our[/center]
sister banks. This money will be used[/center]
to repay that bad debt.[/center]
[/end]"
454,您的金币不足。[/结束],You do not have enough gold.[/end]
475,匕落城堡。[/结束],Castle Daggerfall.[/end]
532,"连昆虫都安静了。[/记录]
你穿过一张巨大的蜘蛛网。[/记录]
大型蜘蛛从你的路径上窜走。[/end]","Even the insects have fallen silent.[/record]
You push through a huge spider web.[/record]
Large spiders scuttle from your path.[/end]"
612,"我很遗憾地告诉你，你没有资格[/center]
加入公会。[/center]
[/中心]
坦白说，你没有最好的[/center]
在知识分子中的声誉。[/center]
[/记录]
我很遗憾地告诉你，你没有资格[/center]
加入公会。[/center]
[/中心]
你的名字对我们来说很熟悉，但说实话，你的名字并不好听。[/center]
[/记录]
我很遗憾地告诉你，你没有资格[/center]
加入公会。[/center]
[/中心]
不幸的是，您到达时的数量小于[/center]
良好的声誉，年轻的%ra。你可能[/中心]
考虑改进并返回。[/center]
[/结尾]","I am sad to say that you are ineligible[/center]
to join the guild.[/center]
[/center]
You do not, to be blunt, have the finest[/center]
reputation amongst members of the intelligentsia.[/center]
[/record]
I am sad to say that you are ineligible[/center]
to join the guild.[/center]
[/center]
Your name is familiar to us, and not in a very favorable light, to be quite honest.[/center]
[/record]
I am sad to say that you are ineligible[/center]
to join the guild.[/center]
[/center]
Unfortunately, you arrive with a less than[/center]
sterling reputation, young %ra. You might[/center]
consider improving that and returning.[/center]
[/end]"
703,"感谢您的捐赠。也许%上帝[/center]
会对你的违法行为更加友善地看待[/center]
未来。[/中心]
[/记录]
当然%gdd接受所有捐款，[/center]
但不要指望奇迹。这需要更多[/中心]
比一堆金子。[/center]
[/记录]
感谢您的捐赠，但我警告[/center]
你反对认为 %god 是用来雇佣的[/center]
对于任何类型的违法者。[/center]
[/结尾]","Thank you for your donation. Perhaps %god[/center]
will look more kindly on your transgressions[/center]
in the future.[/center]
[/record]
Certainly %gdd accepts all donations,[/center]
but do not expect miracles. That takes more[/center]
than a pile of gold.[/center]
[/record]
I thank you for your donation, but I caution[/center]
you against thinking that %god is for hire[/center]
for any sort of transgressor.[/center]
[/end]"
865,"地底之王是童年故事中的老怪物，据说是有史以来最强大的法师。这些故事可以追溯到塞普丁王朝的早期。然而，没有人怀疑那些自称为他的特工的人的存在。自称听命于地下之王的生者和死者可能有数百人。[/记录]
地下之王，嗯，有点像巫妖。一个非常强大，非常神秘的远古巫妖。现在，他住在哪里，他想要什么？这个我不能告诉你。[/记录]
根据一些故事，地下之王曾经是一位强大的巫师，他为了一些有价值的事业而放弃了自己的心。心脏消失了，所以地下之王不能死，也不能真正活下去。但他的部下们以狂热的奉献精神执行他的命令，据说仍在寻找他的心。[/记录]
地下之王可能只是一个神话，但他的爪牙却是真实存在的。泰姆瑞尔的老百姓绝对相信地下之王，并且非常畏惧他。[/结束]","The Underking is the old bugbear of childhood stories, said to be the most powerful mage who ever lived. The stories go back to the earliest years of the Septim dynasty. No one, however, doubts the existence of those who call themselves his Agents. The living and the animated dead who say they answer to the Underking are perhaps in the hundreds.[/record]
The Underking is, well, sort of like a lich. A very powerful, very mysterious ancient lich. Now, where does he live and what does he want? That I can't tell you.[/record]
According to some stories, the Underking was once a powerful wizard who gave up his heart for some worthy enterprise. The heart disappeared, so the Underking cannot die or really live. But his minions do his bidding with fanatical devotion, supposedly still searching for his heart.[/record]
The Underking may be nothing more than a myth, but his minions are very real. The common people of Tamriel definitely believe in the Underking, and fear him greatly.[/end]"
889,猫头鹰骑士团是格伦波因特的传统守卫和民兵，是该地区最优秀的。[/结束],"The Knights of the Owl are the traditional guard and militia of Glenpoint, the finest in the region.[/end]"
903,"哦，你去哪儿了？[/记录]
刀刃锋利[/记录]
让我磨练一下我的skean[/记录]
啊，别对我卑鄙[/记录]
你的黑心干净吧[/记录]
我是你的国王，做我的女王[/记录]
春天，春天，多么可爱的绿色[/记录]
多么壮观的一幕啊！[/记录]
噢，她喜欢被人看见[/记录]
我是你女王的骑士[/记录]
我是约翰尼，你是吉恩[/记录]
对于你的约翰尼，我将是吉恩[/结束]","O where have you been?[/record]
The knives edge is keen[/record]
Let me sharpen my skean[/record]
Ah, to me don't be mean[/record]
Thy black heart be clean[/record]
I'm thy king, be my queen[/record]
Spring, spring, so lovely green[/record]
What a remarkable scene![/record]
O, she likes to be seen[/record]
I'm the knight to thy queen[/record]
I'll be Johnny, you be Jean[/record]
To your Johnny, I'll be Jean[/end]"
902,"随着下来，德里，德里，下来，下来[/记录]
她穿着一件可爱、可爱的礼服[/记录]
无非是杰弗尔的小丑[/记录]
她的眼睛是蓝色的，她的脸颊是棕色的[/记录]
皇冠上的钻石闪闪发光[/记录]
在海里我们都被淹死了[/记录]
微笑吧，我的爱人！别皱眉！[/记录]
穿过美丽的山谷，穿过美丽的小镇[/记录]
飞吧，飞吧，永远不要低头[/结束]","With a down, derry, derry, down, down[/record]
She wore a lovely, lovely gown[/record]
Nothing more than Jephre's clown[/record]
Her eyes were blue, her cheek so brown[/record]
Diamonds sparkled in his crown[/record]
Down in the sea we all drown[/record]
Smile, my love! Don't you frown![/record]
Across bonny dell, across bonny town[/record]
Fly, fly away, and do never look down[/end]"
1366,"攀爬是一项每当人都会检查的技能[/center]
尝试攀爬墙壁或陡峭的斜坡。[/center]
它会被不断地检查，直到一个打开[/center]
再次平整地面。[/中心]
[/结尾]","Climbing is a skill checked whenever one[/center]
attempts to scale a wall or a steep incline.[/center]
It is continually checked until one is on[/center]
level ground again.[/center]
[/end]"
1219,"排水——强度[/center]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/center]
“导致目标的力量被耗尽。[/center]
目标将失去 %1bm 到 %2bm 点力量[/center]
每轮，加上 %1am 到 %2am 积分[/center]
对于施法者的每 %clm 等级。""[/center]
[/结尾]","Drain -- Strength[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target's Strength to be drained.[/center]
Target will lose %1bm to %2bm points of Strength[/center]
every round, plus %1am to %2am points[/center]
for every %clm level(s) of the caster.""[/center]
[/end]"
893,鹰骑士团是从安提菲洛斯最优秀、最高贵的战士中挑选出来的，他们的职责是保护王室和这片土地上的人民并为他们而战。[/结束],"The Knights of the Hawk are chosen from the finest, noblest warriors in Antiphyllos, to protect and fight for the royal family and people of the land.[/end]"
1569,"法术反射[/center]
目标将传入的法术反射回施法者。[/center]
持续时间：回合目标将反射法术。[/center]
Chance：成功的机会。[/center]
震级：不适用[/中心]
[/结尾]","Spell Reflection[/center]
Target reflects incoming spells back at caster.[/center]
Duration: Rounds target will reflect spells.[/center]
Chance: Chance of success.[/center]
Magnitude: N/A[/center]
[/end]"
1506,"持续伤害——法术点[/center]
每轮减少目标的法术点。[/center]
持续时间：目标受影响的回合数。[/center]
机会：不适用[/中心]
幅度：目标每轮损失的法术点数。[/center]
[/结尾]","Continuous Damage -- Spell Points[/center]
Reduces target's Spell Points each round.[/center]
Duration: How many rounds target is affected.[/center]
Chance: N/A[/center]
Magnitude: Amount of Spell Points target loses per round.[/center]
[/end]"
1578,"攀登[/中心]
目标也可以爬升两倍。[/center]
持续时间：回合法术仍然有效。[/center]
机会：不适用[/center]
震级：不适用[/中心]
[/结尾]","Climbing[/center]
Target can climb twice as well.[/center]
Duration: Rounds spell remains active.[/center]
Chance: N/A[/center]
Magnitude: N/A[/center]
[/end]"
1478,"所有瘟疫受害者都必须留下[/center]
在街上聚集和[/中心]
烧毁了。 -- %nrn[/记录]
警告所有访客。我们的展会[/中心]
小镇被瘟疫困扰。[/center]
[/记录]
按照%nrn的命令，无人示意[/center]
瘟疫可能会进入或离开这个城镇。[/center]
[/结尾]","All plague victims must be left[/center]
in the street to be gathered and[/center]
burned. -- %nrn[/record]
Bewarned all visitors. Our fair[/center]
town is beset by the plague.[/center]
[/record]
By order of %nrn, no person showing sign[/center]
of plague may enter or leave this town.[/center]
[/end]"
1566,"再生[/中心]
目标每轮都会恢复生命值。[/center]
持续时间：回合目标重新生成。[/center]
机会：不适用[/center]
幅度：每轮重新生成的点数。[/center]
[/结尾]","Regenerate[/center]
Target regenerates Health Points each round.[/center]
Duration: Rounds target regenerates.[/center]
Chance: N/A[/center]
Magnitude: Number of points regenerated each round.[/center]
[/end]"
1603,"灵魂陷阱[/中心]
目标死亡后，灵魂会被沉积[/center]
放入任何可用的容器中。[/center]
持续时间：法术毁灭活目标的时间[/center]
几率：监禁目标的几率。[/center]
震级：不适用[/中心]
[/结尾]","Soul Trap[/center]
After death, target's soul will be deposited[/center]
into any available receptacle.[/center]
Duration: How long spell dooms living target[/center]
Chance: Chance of Imprisoning target.[/center]
Magnitude: N/A[/center]
[/end]"
1804,拯救与震惊[/结束],Save versus shock[/end]
2066,"谦虚地说，乌鸦骑士团是一个[/center]
传奇的战斗顺序。我们有幸[/center]
领导了与卡莫兰的战斗[/center]
篡夺者并将泰姆瑞尔的一半从他的暴政中解放出来。[/center]
[/中心]
我们仍然是 Dwynnen 男爵领地的先锋队，[/center]
保护整个地区。鉴于我们的[/中心]
声誉，我们只能承认最伟大的[/center]
战士们，男爵最忠诚的仆人，[/center]
进入我们的订单。[/center]
[/中心]
您有兴趣加入吗？[/center]
[/结尾]","In all modesty, the Order of the Raven is a[/center]
legendary fighting order. We have the honor of[/center]
having led the battle against the Camoran[/center]
Usurper and freed half of Tamriel from his tyranny.[/center]
[/center]
We remain the vanguards of the Barony of Dwynnen,[/center]
protecting the entire region. Given our[/center]
reputation, we cannot admit any but the greatest[/center]
warriors, the most loyal servants of the Baron,[/center]
into our order.[/center]
[/center]
Are you perhaps interested in joining?[/center]
[/end]"
2055,"朱利安诺斯学校不仅仅是一座寺庙，而是一座奉献的教堂[/center]
盲目地崇拜遥远而朦胧的上帝[/center]
数字。朱利安诺斯无疑是一位神，但最重要的是[/center]
他是学问、逻辑、哲学的象征，[/center]
智慧。除了[/center]，我们不拥护任何道德哲学
知识的美好。作为伟大的赛伊克[/center]
曾经说过，无知的力量确实可以粉碎[/center]
像玻璃一样的秘银。那是我们的敌人。[/center]
[/中心]
奖学金是一个漫长而艰难的旅程，[/center]
朱利安诺斯不能容忍那些想要缩短的人[/center]
它。然而，他确实祝福那些慷慨的人[/center]
捐赠给他的学校，暂时增加[/center]
他们的魔法技能。[/center]
[/中心]
虽然我们提倡全民识字和教育[/中心]
Tamrielans，我们对那些希望加入的人的政策[/center]
学校本身要求非常严格。我们很少[/center]
浪费时间去训练那些缓慢和懒惰的人。[/center]
[/中心]
您有兴趣加入吗？[/center]
[/结尾]","The School of Julianos is no mere temple, dedicated[/center]
to mindless obeisance to a distant and hazy God[/center]
figure. Julianos is a God, to be sure, but foremost[/center]
he is a symbol of learning, logic, philosophy, and[/center]
wisdom. We espouse no moral philosophy other than[/center]
the goodness of knowledge. As the great Psijic[/center]
once said, the power of ignorance can truly shatter[/center]
mithril like glass. That is our enemy.[/center]
[/center]
Scholarship is a long and difficult journey, and[/center]
Julianos does not tolerate those who wish to shorten[/center]
it. However, He does bless those who generously[/center]
donate to His School with a temporary increase in[/center]
their magical skills.[/center]
[/center]
While we advocate literacy and education for all[/center]
Tamrielans, our policy for those who wish to join[/center]
the School itself is very stringent. We have little[/center]
time to waste training the slow and the lazy.[/center]
[/center]
Are you perhaps interested in joining?[/center]
[/end]"
2107,"窃贼深谙撬锁艺术。[/center]
他们甚至可以在不被发现的情况下潜入最[/center]
贵族住宅的安全和逃脱检测。[/中心]
最重要的防盗技能是：撬锁，[/center]
隐形、攀爬、商业、[/center]
闪避和短剑。[/center]
你希望你的角色成为一名窃贼吗？[/center]
[/结尾]","Burglars are well versed in the arts of picking locks.[/center]
They can sneak undetected into even the most[/center]
secure of noble houses and escape detection.[/center]
The most important Burglar skills are: Lockpicking,[/center]
Stealth, Climbing, Mercantile,[/center]
Dodging, and Short Blade.[/center]
Do you wish your character to be a Burglar?[/center]
[/end]"
4300,"施展攻击性法术[/记录]
毁灭学院[/完]","casting offensive spells[/record]
the School of Destruction[/end]"
4251,隐身以躲避父母[/结束],turn invisible to avoid your parents[/end]
4417,肉搏战[/完],hand-to-hand[/end]
4217,"一本引人入胜的书[/记录]
一本有趣的书[/完]","a fascinating book[/record]
an intriguing book[/end]"
4423,赛车[/结束],racing[/end]
4403,"伪装的多种用途[/记录]
化妆、服装和其他伪装[/结束]","the myriad uses of disguises[/record]
makeup, costume, and other disguises[/end]"
4522,"锁[/记录]
锁和镐[/结束]","locks[/record]
locks and picks[/end]"
4527,"背后捅刀子[/记录]
肮脏的伎俩[/记录]
肮脏的战斗[/完]","backstabbing[/record]
dirty tricks[/record]
dirty fighting[/end]"
4430,与巨龙有血缘关系的小龙[/结束],the small dragons who are kin to the Wyrm[/end]
4750,游泳[/结束],swim[/end]
4751,"修补简单的伤口[/记录]
治愈自己[/记录]
不用魔法就能治愈[/结束]","mend simple wounds[/record]
heal yourself[/record]
heal without magic[/end]"
5406,"一个人为我说话。[/center]
两个为我服务。[/center]
六保护我。[/center]
有多少人敢违抗我？[/center]
[/结尾]","One speaks for me.[/center]
Two serve me.[/center]
Six protect me.[/center]
How many defy me?[/center]
[/end]"
4704,"用你的狼牙棒敲碎了他的头骨[/记录]
用你的连枷把他打死了[/结束]","crushed his skull with your mace[/record]
clubbed him to death with your flail[/end]"
7221,"朋友[/记录]
陌生人[/完]","friend[/record]
stranger[/end]"
5464,"所有人都可以在[/center]向殿下请愿
这次。不要偏离观众席[/center]
以免你们得到皇家的祝福这样做。[/center]
始终有礼貌地与国王和王后交谈，[/center]
最重要的是，在[/center]内时不要施展法术
这些墙。您同意这些条款吗？[/center]
[/结尾]","All are free to petition his highness at[/center]
this time. Do not stray from the audience[/center]
chamber lest ye have royal blessing to do so.[/center]
Always speak politely to the king and queen,[/center]
and above all, cast no spells while within[/center]
these walls. Do ye agree with these terms?[/center]
[/end]"
7216,"美好的一天，%n[/记录]
问候，好%n[/记录]
向你问好[/记录]
你好吗，%n[/记录]
你好吗，%n[/记录]
你好[/完]","Good day, %n[/record]
Greetings, good %n[/record]
Greetings to you[/record]
How do you do, %n[/record]
How are you, %n[/record]
Hello[/end]"
6309,"风景与[/记录]
风景与[/记录]
风景与[/记录]
风景与[/记录]
风景与[/记录]
风景与[/记录]
查看[/记录]
乡村[/记录]
远景[/记录]
视线[/记录]
全景[/完]","Landscape with[/record]
Landscape with[/record]
Landscape with[/record]
Landscape with[/record]
Landscape with[/record]
Landscape with[/record]
View of[/record]
Countryside with[/record]
Vista of[/record]
Sight of[/record]
Panorama of[/end]"
6121,"城镇[/记录]
城镇[/记录]
城镇[/记录]
城镇[/记录]
哈姆雷特[/记录]
哈姆雷特[/记录]
村庄[/记录]
村庄[/记录]
村庄[/记录]
自治市镇[/记录]
德温宁[/记录]
科维奇[/记录]
图卢恩[/记录]
克拉格霍德[/记录]
波伯勒[/完]","Town[/record]
Town[/record]
Town[/record]
Town[/record]
Hamlet[/record]
Hamlet[/record]
Village[/record]
Village[/record]
Village[/record]
Borough[/record]
Dwynnen[/record]
Corwich[/record]
Tulune[/record]
Craghold[/record]
Pourborough[/end]"
7304,"从来没有听说过%key，孩子。在我把刀插在你背后之前离开。[/记录]
我曾经因为问了关于 %key 的愚蠢问题而杀了一个 %ra。[/record]
我不知道。但我确实知道，如果你再让我周围的空气变得臭气熏天，我会在你的肚子上插上一把剑。[/记录]
你%pcn。我应该再给你一个微笑。但因为我是个好人，我就告诉你我不知道。[/记录]
你的名声不好%pcn。我对%key一无所知，但如果你再靠近一点，我就会给你一个。[/end]","Never heard of %key, kid. Leave before I put a knife in yer back.[/record]
I killed a %ra once for asking stupid questions about %key.[/record]
I don't know. But I do know that if you stink up the air around me any more I'll stick a sword in yer gut.[/record]
Yer %pcn. I oughta slice you a second smile. But because I'm a nice guy, I'll just tell ya I don't know.[/record]
You gotta bad rep %pcn. I don't know anythin' about %key, but if ya come any closer, I'm gonna pop ya one.[/end]"
7264,"％钥匙？我会让你看看我的刀锋！紧急撤离。[/记录]
再靠近一点我就会切开你的砂囊%pcf。[/record]
你想死吗？然后继续询问%key。[/record]
一个%ra。想知道你的血是什么颜色的。过来让我看看。[/记录]
我知道关于 %key 的一切。但如果我告诉你，我就会杀了你。[/record]
也许我知道一些事情，也许我不知道。但我已经说完了，%pcf。[/record]
我不想和你讨论这个或其他任何事情。再见。[/结束]","%key? I'll show ya the edge of my knife instead! Scram.[/record]
Come any closer and I'll slit yer gizzard %pcf.[/record]
Ya have a hankerin' ta die? Then keep askin' around about %key.[/record]
A %ra. Wonder what color blood ya have. Come 'ere and let me see.[/record]
I know all about %key. But if I told ya, I'd have ta kill ya.[/record]
Maybe I know something, maybe I don't. But I'm through with talking, %pcf.[/record]
I don't care to discuss that or anything else with you. Goodbye.[/end]"
7288,"当然，为了你的忠诚之一。 %hnt。[/记录]
为了一个忠诚的臣民，我不能不做任何事。去%hnt。[/记录]
本身很简单。尝试%hnt。[/记录]
你一直帮助我，现在我可以报答你了。 %hnt。[/记录]
当然。我们不是一直都是朋友吗？转到%hnt[/记录]
。[/结尾]","For one of your loyalty, of course. It's %hnt.[/record]
I could do no less for a loyal subject. Go %hnt.[/record]
Simplicity in itself. Try %hnt.[/record]
You have always helped me, now I can return the favor. It's %hnt.[/record]
Of course. Have we not always been friends? Go %hnt[/record]
.[/end]"
7767,"门后传来大胆、傲慢的男性声音。[/左]
微弱的金属碰撞声，显然是由男人发出的[/左]
装甲移动，可以听到。[/左]
[/结尾]","Bold, brash male voices echo from behind the door.[/left]
Faint clatters of metal, obviously made by men in[/left]
armor moving about, can be heard.[/left]
[/end]"
8569,"我们 %fnpc 与[/center]结盟
%fea。 %fpc 是[/center]
这是敌人。我为什么要帮你？[/center]
[/记录]
我不帮助 %fpc 的人。[/center]
至少在他们停止争吵之前不会[/center]
和我在 %fea 的朋友们。[/center]
[/记录]
我最好的朋友在%fea。你%fpc讨厌[/center]
他们，所以从我面前滚出去！[/center]
[/记录]
你的嘴真臭。离我远点。[/center]
[/结尾]","We of %fnpc are allied with[/center]
%fea. %fpc are[/center]
it's enemy. Why should I help you?[/center]
[/record]
I don't help those of %fpc.[/center]
At least not until they cease bickering[/center]
with my friends in %fea.[/center]
[/record]
My best friend is in %fea. You %fpc hates[/center]
them, so get out of my face![/center]
[/record]
Your breath stinks. Get away from me.[/center]
[/end]"
8378,"已知世界的讨价还价购物者都在[/center]
今天发力，这也就不足为奇了，第十次了[/center]
日高天是一个节日，叫做商人节[/center]
节日。每个市场和设备商店[/中心]
已将其价格至少降至一半。唯一[/中心]
今天不光顾的商店是法师公会，[/center]
那里的价格和平常一样昂贵。大多数[/中心]
需要魔法物品的市民正在等待两个[/center]
庆祝故事和牛油的月份[/center]
什么时候价格会更合理...[/center]
[/结尾]","The bargain shoppers of the known world are out in[/center]
force today and it is little wonder, for the 10th[/center]
of Sun's Height is a holiday called the Merchants'[/center]
Festival. Every marketplace and equipment store[/center]
has dropped their prices to at least half. The only[/center]
shop not being patronized today is the Mages Guild,[/center]
where prices are as exorbitant as usual. Most[/center]
citizens in need of a magical item are waiting two[/center]
months for the celebration of Tales and Tallows[/center]
when prices will be more reasonable...[/center]
[/end]"
8704,"（仅限脚轮）[/左]
[/左边]
血红玫瑰不是神器[/左]
大多数人都愿意拥有。它召唤[/左]
对用户来说是一个较小的 Daedra。迪德拉[/左]
会攻击该区域内的任何其他生物[/left]
除了玫瑰的持有者。玫瑰花[/左]
和其他东西一样，它会枯萎。[/左]
使用的能量越多，[/左]
它变得更加枯萎。最终全部[/左]
花瓣脱落，它就失去了力量。[/左]
在湮灭的某处，一朵新的玫瑰绽放[/左]
并被 Sanguine 亲自挑选为[/left]
授予新冠军。[/左]
[/左边]
法术：无[/左]
[/结尾]","(caster only)[/left]
[/left]
The Sanguine Rose is not an artifact[/left]
most folk would care to have. It summons[/left]
a lesser Daedra to the user. The Daedra[/left]
will attack any other creature in the area[/left]
except the bearer of the rose. The rose[/left]
is like any other in that it will wilt.[/left]
The more of its power that is used, the[/left]
more wilted it becomes. Eventually all its[/left]
petals fall off and it loses its powers.[/left]
Somewhere in Oblivion a new rose blooms[/left]
and is plucked by Sanguine herself to be[/left]
given to a new champion.[/left]
[/left]
Spells: None[/left]
[/end]"
